chunk_id,content
0,"E aí, everybody!
Thank you for joining me, antes de este episode,
vamos nos vemos no final do Freming Plan.
Por favor, esse é um vídeo que temos que ter sido um vídeo que temos que ter sido um vídeo que temos que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo"
1,o um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que ter s
2,"que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que ter sido um vídeo que ter sido um vídeo que ter sido um vídeo que ter sido um vídeo que ter sido um vídeo que ter sido um vídeo que ter sido um vídeo que ter sido um vídeo que
tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um"
3,er sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que
4,"vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido
um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que t"
5,"tem que ter sido
um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um"
6,er sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que
7,"vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem
um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um ví"
8,sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que te
9,"deo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem
aqui é a gente que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um"
10,er sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que
11,"vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo
que tem que ter sido um vídeo que tem que t"
12,"tem que ter sido um vídeo que tem que ter sido um vídeo
que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um"
13,er sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que
14,"vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter
que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que t"
15,ídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter
16,"em que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um vídeo que tem que ter sido um
que tem que ter sido um vídeo que não podemos ser tudo bem, então vamos fazer isso, vamos fazer isso, vamos fazer isso
vamos fazer isso, vamos fazer is"
17,"udo bem, então vamos fazer isso, vamos fazer isso, vamos fazer isso
vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso,"
18,"zer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamo"
19,"isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos
vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, va"
20,"r isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos"
21,"so, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos
fazer isso, mas é a ideia de que a gente"
22,"vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos
fazer isso, mas é a ideia de que a gente vai fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos"
23,"sso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos faz"
24,"vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer
vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, vamos fazer isso, v"
